id	0	1	cluster
65.0	-8408.099783413221	-1164.6497806240918	6.0
66.0	-8349.229565576486	-1044.9521522704993	6.0
67.0	-8315.046071255081	-993.3500017115034	6.0
68.0	-8214.380011528947	-1086.9004154251938	6.0
69.0	-8182.091277198746	-957.9525651839166	6.0
70.0	-8311.104563161709	-1106.673188965453	6.0
71.0	-8293.001293123598	-1032.8448507280866	6.0
72.0	-8215.91696031592	-1008.305896280964	6.0
73.0	-8246.704997605259	-1006.2125619314604	6.0
74.0	-8254.62908318881	-929.4793617075037	6.0
75.0	-8237.004657867952	-928.6982006741127	6.0
76.0	-8331.4065000692	-891.2197380111688	6.0
77.0	-8458.734285876088	-1020.1831998035047	6.0
78.0	-8525.390082034091	-1161.2999047753106	6.0
79.0	-8671.471485709999	-1251.1481438036055	6.0
80.0	-8577.134793883133	-1375.5380924518188	6.0
81.0	-8658.938181689658	-1378.7476745877136	6.0
82.0	-8706.850347677579	-1515.3065749591838	6.0
83.0	-8842.489595594505	-1659.8468136654071	6.0
84.0	-8947.366152925391	-1617.231490487457	6.0
85.0	-8960.455554866008	-1757.5084595039154	6.0
86.0	-9003.454714619174	-1705.6475423097406	6.0
87.0	-8995.485833459361	-1716.447338432573	6.0
88.0	-9036.665992100941	-1898.565721956495	6.0
89.0	-9074.63145745256	-1991.6615686775203	6.0
90.0	-9062.96695191746	-1998.9719669659125	6.0
91.0	-9190.997735447369	-1845.7259017830688	6.0
92.0	-9168.128094335483	-1804.5500004798791	6.0
93.0	-9263.313680562209	-1635.8964264952979	6.0
94.0	-9352.36626758438	-1547.0344635896704	6.0
95.0	-9197.79863203615	-1644.0817445306668	6.0
96.0	-9173.845258557518	-1672.9342618614508	6.0
97.0	-9211.210862232076	-1697.0845434738544	6.0
98.0	-9214.62231919732	-1737.4962940607109	6.0
99.0	-9113.31590953309	-1896.036048661197	6.0
100.0	-9239.807231682009	-2002.038134690343	6.0
101.0	-9204.592835807729	-2021.8342021669282	6.0
102.0	-9104.337370290486	-2161.469237835921	6.0
103.0	-9109.53243055759	-2166.29995726263	6.0
